reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
1040,ARNALDUS de Crespeyo,/individus/1040-arnaldusdecrespeyo,31,1121,1095,1,1,1
59865,ANTHONIUS Fauvel,/individus/59865-anthoniusfauvel,13,383,373,1,1,0
133,ADEMARUS de Textoria,/individus/133-ademarusdetextoria,10,270,266,1,1,0
51580,ANTHONIUS de Vasselin,/individus/51580-anthoniusdevasselin,14,620,602,1,1,1
16342,ANTHONIUS de Montejoco,/individus/16342-anthoniusdemontejoco,24,1081,1047,1,1,1
16455,AEGIDIUS Baudouyn,/individus/16455-aegidiusbaudouyn,13,473,461,1,1,0
830,ANTHONIUS Mannucii,/individus/830-anthoniusmannucii,17,483,474,1,1,0
900,ARNALDUS de Trajecto Inferiori,/individus/900-arnaldusdetrajectoinferiori,13,396,384,1,1,0
16334,ANTHONIUS Soronis,/individus/16334-anthoniussoronis,16,465,449,1,1,0
50828,AUBERTUS Mestre d’école,/individus/50828-aubertusmestred’école,14,499,487,1,1,1
17019,ANTHONIUS Godeffridi,/individus/17019-anthoniusgodeffridi,11,498,488,1,1,1
17021,ANTHONIUS de Pompadorio,/individus/17021-anthoniusdepompadorio,35,1427,1387,1,1,1
875,ARMANNUS de Parme,/individus/875-armannusdeparme,15,388,380,1,1,0
55714,ANDREAS Textoris 1,/individus/55714-andreastextoris1,13,514,504,1,1,1
17105,AEGIDIUS de Villiers,/individus/17105-aegidiusdevilliers,10,482,474,1,1,1
21686,ALEXANDER Scotus 1,/individus/21686-alexanderscotus1,16,759,733,1,1,1
52115,ARNULPHUS Viel,/individus/52115-arnulphusviel,12,540,522,1,1,1
16831,ARNULPHUS Hasterii,/individus/16831-arnulphushasterii,12,423,406,1,1,1
421,ALBERTUS de Saxonia 1,/individus/421-albertusdesaxonia1,497,28012,27561,1,1,1
90,ADAM de Kalkar,/individus/90-adamdekalkar,18,374,356,1,1,0
245,AGNESSOT Danessy,/individus/245-agnessotdanessy,9,509,503,1,1,0
1079,AUBERTUS de Phares,/individus/1079-aubertusdephares,18,475,463,1,1,1
833,ANTHONIUS Parmensis,/individus/833-anthoniusparmensis,102,5166,5076,1,1,1
853,ANTHONIUS de Leuco,/individus/853-anthoniusdeleuco,70,3709,3539,1,1,0
13158,ANSELMUS Sauceyo,/individus/13158-anselmussauceyo,11,348,340,1,1,0
16788,ARNALDUS Pepini,/individus/16788-arnalduspepini,13,502,488,1,1,0
138,ADOLPHUS Tegelen,/individus/138-adolphustegelen,26,722,690,1,1,0
17109,AEGIDIUS Morry,/individus/17109-aegidiusmorry,10,459,453,1,1,1
621,ANDREAS Bot de Amersfordia,/individus/621-andreasbotdeamersfordia,26,877,837,1,1,0
304,ALANUS de Lambalia,/individus/304-alanusdelambalia,25,1032,1000,1,1,1
153,ADRIANUS de Atrio,/individus/153-adrianusdeatrio,15,391,376,1,1,0
2085,AEGIDIUS Sansoneti,/individus/2085-aegidiussansoneti,37,1855,1803,1,1,1
16578,ALBERTUS Gallerel de Loxevilla,/individus/16578-albertusgallereldeloxevilla,15,531,517,1,1,0
60189,ANTHONIUS Guldenapt,/individus/60189-anthoniusguldenapt,18,521,497,1,1,1
16497,ALARDUS Caronis,/individus/16497-alarduscaronis,19,737,711,1,1,1
514,ALEXANDER de Prato,/individus/514-alexanderdeprato,13,416,405,1,1,1
533,AMALRICUS de Bayonne,/individus/533-amalricusdebayonne,13,499,487,1,1,1
711,ANDREAS de Courceneto,/individus/711-andreasdecourceneto,14,473,457,1,1,1
16631,ALEXANDER Divitis,/individus/16631-alexanderdivitis,9,221,217,1,1,0
15683,ANTHONIUS Lapostolle,/individus/15683-anthoniuslapostolle,17,561,545,1,1,0
797,ANTHONIUS Thevenardi,/individus/797-anthoniusthevenardi,11,297,289,1,1,0
15685,ANTHONIUS Maignen,/individus/15685-anthoniusmaignen,14,451,437,1,1,0
60194,ARNALDUS de Noringen,/individus/60194-arnaldusdenoringen,21,658,636,1,1,1
519,ALEXANDER de Wardlaw,/individus/519-alexanderdewardlaw,31,1173,1129,1,1,1
16262,ANDREAS Frayde,/individus/16262-andreasfrayde,15,416,402,1,1,0
866,ARDENGUS de Liège,/individus/866-ardengusdeliège,12,266,260,1,1,0
