path,count,coverage,types
ecclesiasticalCareer.ecclesiasticalStatus[].meta.institutions[],2076,0.1030324085562559,"{'list': 2166, 'str': 2171}"
relationalInsertion.socialClassOrigin[],1956,0.09707677800387116,"{'list': 1956, 'dict': 1966}"
relationalInsertion.socialClassOrigin[].meta,1956,0.09707677800387116,{'dict': 1966}
relationalInsertion.socialClassOrigin[].value,1956,0.09707677800387116,{'str': 1966}
relationalInsertion.studentProfessorRelationships[].reference[],1820,0.09032706337783512,"{'list': 3989, 'str': 4219}"
bibliography.workReferences[].meta.titles[],1809,0.08978113057719986,"{'list': 2331, 'str': 2478}"
relationalInsertion.familyNetwork[].reference[],1776,0.08814333217529406,"{'list': 3309, 'str': 3478}"
ecclesiasticalCareer.secularPosition[].meta.names[],1739,0.08630701275497543,"{'list': 1946, 'str': 2135}"
curriculum.universityCollege[].meta.dates[].date,1734,0.0860588614819594,"{'int': 2067, 'NoneType': 2}"
curriculum.universityCollege[].meta.places[],1569,0.0778698694724304,"{'list': 1692, 'str': 1733}"
textualProduction,1562,0.07752245769020795,{'dict': 1562}
professionalCareer.universityFunction[].comment[],1537,0.0762817013251278,"{'list': 1957, 'str': 2199}"
relationalInsertion.studentProfessorRelationships[].meta.dates[],1537,0.0762817013251278,"{'list': 3529, 'dict': 3573}"
relationalInsertion.studentProfessorRelationships[].meta.dates[].type,1535,0.07618244081592139,{'str': 3573}
ecclesiasticalCareer.secularPosition[].comment[],1519,0.07538835674227008,"{'list': 1977, 'str': 2106}"
relationalInsertion.studentProfessorRelationships[].meta.dates[].date,1483,0.07360166757655467,{'int': 3458}
ecclesiasticalCareer.secularPosition[].meta.titles[],1443,0.07161645739242642,"{'list': 1562, 'str': 2033}"
relationalInsertion.familyNetwork[].meta.institutions[],1435,0.07121941535560078,"{'list': 2325, 'str': 2523}"
assets,1361,0.06754677651496352,{'dict': 1361}
professionalCareer.universityFunction[].meta.dates[].endDate,1292,0.0641222889473423,"{'dict': 1873, 'NoneType': 16}"
professionalCareer.universityFunction[].meta.dates[].startDate,1292,0.0641222889473423,"{'dict': 1887, 'NoneType': 2}"
professionalCareer.universityFunction[].meta.dates[].startDate.date,1291,0.06407265869273909,{'int': 1887}
professionalCareer.universityFunction[].meta.dates[].startDate.type,1291,0.06407265869273909,{'str': 1887}
professionalCareer.universityFunction[].meta.dates[].endDate.date,1282,0.06362598640131024,{'int': 1873}
professionalCareer.universityFunction[].meta.dates[].endDate.type,1282,0.06362598640131024,{'str': 1873}
ecclesiasticalCareer.regularOrder[].meta.institutions[],1270,0.06303042334607177,"{'list': 1318, 'str': 1666}"
curriculum.grades[].meta.dates[].endDate,1269,0.06298079309146856,"{'dict': 1347, 'NoneType': 4}"
curriculum.grades[].meta.dates[].startDate,1269,0.06298079309146856,"{'dict': 1350, 'NoneType': 1}"
curriculum.grades[].meta.dates[].startDate.date,1268,0.06293116283686535,{'int': 1350}
curriculum.grades[].meta.dates[].startDate.type,1268,0.06293116283686535,{'str': 1350}
curriculum.grades[].meta.dates[].endDate.date,1265,0.06278227207305573,{'int': 1347}
curriculum.grades[].meta.dates[].endDate.type,1265,0.06278227207305573,{'str': 1347}
ecclesiasticalCareer.regularFunctions[],1257,0.06238523003623009,"{'list': 1257, 'dict': 2469}"
ecclesiasticalCareer.regularFunctions[].meta,1257,0.06238523003623009,{'dict': 2469}
ecclesiasticalCareer.regularFunctions[].value,1257,0.06238523003623009,{'str': 2469}
identity.datesOfLife[].comment[],1254,0.06223633927242047,"{'list': 1254, 'str': 1282}"
ecclesiasticalCareer.regularFunctions[].meta.institutions[],1184,0.05876222145019604,"{'list': 2272, 'str': 3019}"
curriculum.universityCollege[].comment[],1126,0.055883666683210084,"{'list': 1236, 'str': 1474}"
origin.birthPlace[].reference[],1115,0.05533773388257482,"{'list': 1120, 'str': 1200}"
curriculum.universityCollege[].meta.dates[].endDate,1112,0.0551888431187652,"{'dict': 1299, 'NoneType': 2}"
curriculum.universityCollege[].meta.dates[].startDate,1112,0.0551888431187652,{'dict': 1301}
curriculum.universityCollege[].meta.dates[].startDate.date,1112,0.0551888431187652,{'int': 1301}
curriculum.universityCollege[].meta.dates[].startDate.type,1112,0.0551888431187652,{'str': 1301}
curriculum.universityCollege[].meta.dates[].endDate.date,1111,0.05513921286416199,{'int': 1299}
curriculum.universityCollege[].meta.dates[].endDate.type,1111,0.05513921286416199,{'str': 1299}
politicalCareer,1108,0.05499032210035237,{'dict': 1108}
ecclesiasticalCareer.ecclesiasticalStatus[].meta.dates[],1103,0.054742170827336345,"{'list': 1257, 'dict': 1263}"
ecclesiasticalCareer.ecclesiasticalStatus[].meta.dates[].type,1100,0.054593280063526727,{'str': 1263}
ecclesiasticalCareer.ecclesiasticalStatus[].meta.dates[].date,1091,0.05414660777209787,{'int': 1248}
ecclesiasticalCareer.regularFunctions[].meta.dates[],1080,0.053600674971462606,"{'list': 2111, 'dict': 2151}"
assets.parisHousing[],1078,0.05350141446225619,"{'list': 1078, 'dict': 1110}"
assets.parisHousing[].meta,1078,0.05350141446225619,{'dict': 1110}
assets.parisHousing[].value,1078,0.05350141446225619,{'str': 1110}
ecclesiasticalCareer.regularFunctions[].meta.dates[].type,1071,0.05315400268003375,{'str': 2151}
identity.nameVariant[].comment[],1069,0.05305474217082733,"{'list': 1097, 'str': 1106}"
identity.shortDescription[].meta.institutions[],1046,0.051913246314953594,"{'list': 1046, 'str': 1051}"
assets.parisHousing[].reference[],1029,0.05106953198669909,"{'list': 1059, 'str': 1182}"
ecclesiasticalCareer.regularOrder[].reference[],989,0.04908432180257085,"{'list': 1014, 'str': 1086}"
identity.datesOfLife[].reference[],961,0.047694674673681076,"{'list': 961, 'str': 1216}"
textualProduction.religion,910,0.04516353168891756,{'dict': 910}
textualProduction.religion.meta,910,0.04516353168891756,{'dict': 910}
textualProduction.religion.opus[],910,0.04516353168891756,"{'list': 910, 'dict': 4917}"
textualProduction.religion.opus[].mainTitle,910,0.04516353168891756,{'str': 4916}
textualProduction.religion.opus[].title[],910,0.04516353168891756,"{'list': 4916, 'dict': 4916}"
textualProduction.religion.opus[].title[].meta,910,0.04516353168891756,{'dict': 4916}
textualProduction.religion.opus[].title[].value,910,0.04516353168891756,{'str': 4916}
textualProduction.religion.value,910,0.04516353168891756,{'str': 910}
textualProduction.religion.opus[].title[].meta.titles[],909,0.04511390143431436,"{'list': 4915, 'str': 4935}"
textualProduction.religion.opus[].dateAndPlace[],903,0.04481611990669512,"{'list': 4889, 'dict': 5781}"
textualProduction.religion.opus[].dateAndPlace[].meta,903,0.04481611990669512,{'dict': 5781}
textualProduction.religion.opus[].dateAndPlace[].value,903,0.04481611990669512,{'str': 5781}
textualProduction.religion.opus[].manuscrits[],890,0.04417092659685344,"{'list': 4860, 'dict': 37380}"
textualProduction.religion.opus[].manuscrits[].meta,890,0.04417092659685344,{'dict': 37380}
textualProduction.religion.opus[].manuscrits[].value,890,0.04417092659685344,{'str': 37380}
relationalInsertion.socialClassOrigin[].reference[],846,0.04198719539431237,"{'list': 849, 'str': 897}"
assets.parisHousing[].meta.dates[],842,0.041788674375899545,"{'list': 866, 'dict': 1469}"
assets.parisHousing[].meta.dates[].type,841,0.041739044121296344,{'str': 1469}
professionalCareer.representation[],826,0.04099459030224825,"{'list': 826, 'dict': 1515}"
professionalCareer.representation[].meta,826,0.04099459030224825,{'dict': 1515}
professionalCareer.representation[].value,826,0.04099459030224825,{'str': 1515}
assets.parisHousing[].meta.dates[].date,820,0.040696808774629015,{'int': 1447}
textualProduction.religion.opus[].incipits[],781,0.038761228845103975,"{'list': 4372, 'dict': 5376}"
textualProduction.religion.opus[].incipits[].meta,781,0.038761228845103975,{'dict': 5376}
textualProduction.religion.opus[].incipits[].value,781,0.038761228845103975,{'str': 5376}
ecclesiasticalCareer.regularFunctions[].reference[],773,0.03836418680827833,"{'list': 1234, 'str': 1646}"
relationalInsertion.personalServicesRelationship[],770,0.03821529604446871,"{'list': 770, 'dict': 953}"
relationalInsertion.personalServicesRelationship[].meta,770,0.03821529604446871,{'dict': 953}
relationalInsertion.personalServicesRelationship[].value,770,0.03821529604446871,{'str': 953}
professionalCareer.royalAdministration[],766,0.03801677502605588,"{'list': 766, 'dict': 1189}"
professionalCareer.royalAdministration[].meta,766,0.03801677502605588,{'dict': 1189}
professionalCareer.royalAdministration[].value,766,0.03801677502605588,{'str': 1189}
relationalInsertion.personalServicesRelationship[].meta.names[],723,0.03588267407811802,"{'list': 898, 'str': 970}"
travels,720,0.035733783314308404,{'dict': 720}
travels.travels[],720,0.035733783314308404,"{'list': 720, 'dict': 1071}"
travels.travels[].meta,720,0.035733783314308404,{'dict': 1071}
travels.travels[].value,720,0.035733783314308404,{'str': 1071}
ecclesiasticalCareer.otherFunctions[],719,0.035684153059705195,"{'list': 719, 'dict': 936}"
ecclesiasticalCareer.otherFunctions[].meta,719,0.035684153059705195,{'dict': 936}
ecclesiasticalCareer.otherFunctions[].value,719,0.035684153059705195,{'str': 936}
professionalCareer.representation[].meta.dates[],717,0.035584892550498785,"{'list': 1295, 'dict': 1441}"
professionalCareer.representation[].meta.dates[].type,716,0.03553526229589558,{'str': 1441}
ecclesiasticalCareer.regularFunctions[].meta.dates[].date,711,0.03528711102287955,{'int': 1376}
travels.travels[].meta.places[],706,0.03503895974986352,"{'list': 1042, 'str': 2157}"
ecclesiasticalCareer.otherFunctions[].meta.institutions[],663,0.03290485880192565,"{'list': 861, 'str': 947}"
professionalCareer.representation[].meta.institutions[],656,0.032557447019703215,"{'list': 1034, 'str': 1429}"
professionalCareer.representation[].meta.dates[].date,652,0.03235892600129039,{'int': 1234}
identity.datesOfLife[].meta.dates[].type,643,0.03191225370986153,{'str': 647}
identity.datesOfLife[].meta.dates[].endDate,634,0.03146558141843268,"{'dict': 551, 'NoneType': 84}"
identity.datesOfLife[].meta.dates[].startDate,634,0.03146558141843268,"{'dict': 621, 'NoneType': 14}"
ecclesiasticalCareer.otherFunctions[].reference[],622,0.030870018363194203,"{'list': 808, 'str': 840}"
identity.datesOfLife[].meta.dates[].startDate.date,620,0.03077075785398779,{'int': 621}
identity.datesOfLife[].meta.dates[].startDate.type,620,0.03077075785398779,{'str': 621}
ecclesiasticalCareer.otherFunctions[].meta.dates[],619,0.030721127599384584,"{'list': 802, 'dict': 832}"
ecclesiasticalCareer.otherFunctions[].meta.dates[].type,613,0.030423346071765348,{'str': 832}
ecclesiasticalCareer.popFunctions[],606,0.030075934289542906,"{'list': 606, 'dict': 848}"
ecclesiasticalCareer.popFunctions[].meta,606,0.030075934289542906,{'dict': 848}
ecclesiasticalCareer.popFunctions[].value,606,0.030075934289542906,{'str': 848}
professionalCareer.royalAdministration[].reference[],594,0.029480371234304432,"{'list': 841, 'str': 899}"
ecclesiasticalCareer.regularFunctions[].meta.dates[].endDate,591,0.029331480470494813,"{'dict': 754, 'NoneType': 21}"
ecclesiasticalCareer.regularFunctions[].meta.dates[].startDate,591,0.029331480470494813,"{'dict': 772, 'NoneType': 3}"
ecclesiasticalCareer.regularFunctions[].meta.dates[].startDate.date,589,0.0292322199612884,{'int': 772}
ecclesiasticalCareer.regularFunctions[].meta.dates[].startDate.type,589,0.0292322199612884,{'str': 772}
politicalCareer.justiceFacts[],585,0.029033698942875576,"{'list': 585, 'dict': 655}"
politicalCareer.justiceFacts[].meta,585,0.029033698942875576,{'dict': 655}
politicalCareer.justiceFacts[].value,585,0.029033698942875576,{'str': 655}
professionalCareer.universityFunction[].meta.names[],580,0.028785547669859548,"{'list': 915, 'str': 1237}"
ecclesiasticalCareer.regularFunctions[].meta.dates[].endDate.date,575,0.028537396396843516,{'int': 754}
ecclesiasticalCareer.regularFunctions[].meta.dates[].endDate.type,575,0.028537396396843516,{'str': 754}
politicalCareer.justiceFacts[].reference[],561,0.02784257283239863,"{'list': 623, 'str': 854}"
professionalCareer.royalAdministration[].meta.institutions[],561,0.02784257283239863,"{'list': 773, 'str': 819}"
professionalCareer.royalAdministration[].meta.dates[],551,0.027346270286366568,"{'list': 821, 'dict': 847}"
identity.datesOfLife[].meta.dates[].endDate.date,550,0.027296640031763363,{'int': 551}
identity.datesOfLife[].meta.dates[].endDate.type,550,0.027296640031763363,{'str': 551}
professionalCareer.royalAdministration[].meta.dates[].type,549,0.027247009777160158,{'str': 847}
travels.travels[].meta.dates[],548,0.02719737952255695,"{'list': 821, 'dict': 999}"
travels.travels[].meta.dates[].type,548,0.02719737952255695,{'str': 999}
relationalInsertion.personalServicesRelationship[].reference[],539,0.026750707231128094,"{'list': 654, 'str': 716}"
professionalCareer.representation[].reference[],529,0.026254404685096034,"{'list': 894, 'str': 1164}"
relationalInsertion.controversyOrDebates[],499,0.024765497046999853,"{'list': 499, 'dict': 573}"
relationalInsertion.controversyOrDebates[].meta,499,0.024765497046999853,{'dict': 573}
relationalInsertion.controversyOrDebates[].value,499,0.024765497046999853,{'str': 573}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[],498,0.024715866792396644,"{'list': 1802, 'dict': 1852}"
politicalCareer.justiceFacts[].meta.dates[],497,0.02466623653779344,"{'list': 552, 'dict': 662}"
politicalCareer.justiceFacts[].meta.dates[].type,497,0.02466623653779344,{'str': 662}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].type,497,0.02466623653779344,{'str': 1852}
professionalCareer.lawFunction[],492,0.024418085264777407,"{'list': 492, 'dict': 584}"
professionalCareer.lawFunction[].meta,492,0.024418085264777407,{'dict': 584}
professionalCareer.lawFunction[].value,492,0.024418085264777407,{'str': 584}
ecclesiasticalCareer.secularPosition[].meta.places[],491,0.024368455010174202,"{'list': 637, 'str': 667}"
politicalCareer.justiceFacts[].meta.dates[].date,479,0.02377289195493573,{'int': 637}
identity.datesOfActivity[].comment[],468,0.023226959154300463,"{'list': 468, 'str': 470}"
relationalInsertion.socialClassOrigin[].comment[],468,0.023226959154300463,"{'list': 468, 'str': 477}"
professionalCareer.professorOrPerceptor[],456,0.02263139609906199,"{'list': 456, 'dict': 546}"
professionalCareer.professorOrPerceptor[].meta,456,0.02263139609906199,{'dict': 546}
professionalCareer.professorOrPerceptor[].value,456,0.02263139609906199,{'str': 546}
ecclesiasticalCareer.regularFunctions[].comment[],446,0.022135093553029925,"{'list': 529, 'str': 635}"
ecclesiasticalCareer.popFunctions[].reference[],445,0.02208546329842672,"{'list': 601, 'str': 640}"
travels.travels[].meta.dates[].date,445,0.02208546329842672,{'int': 716}
relationalInsertion.controversyOrDebates[].meta.names[],429,0.021291379224775423,"{'list': 468, 'str': 835}"
politicalCareer.justiceFacts[].meta.institutions[],427,0.02119211871556901,"{'list': 465, 'str': 789}"
relationalInsertion.personalServicesRelationship[].meta.institutions[],424,0.02104322795175939,"{'list': 498, 'str': 548}"
