path,count,coverage,types
textualProduction.religion.opus[].dateAndPlace[].value,903,0.04481611990669512,{'str': 5781}
textualProduction.religion.opus[].manuscrits[].value,890,0.04417092659685344,{'str': 37380}
relationalInsertion.socialClassOrigin[].reference[],846,0.04198719539431237,{'str': 897}
assets.parisHousing[].meta.dates[].type,841,0.041739044121296344,{'str': 1469}
professionalCareer.representation[].value,826,0.04099459030224825,{'str': 1515}
assets.parisHousing[].meta.dates[].date,820,0.040696808774629015,{'int': 1447}
textualProduction.religion.opus[].incipits[].value,781,0.038761228845103975,{'str': 5376}
ecclesiasticalCareer.regularFunctions[].reference[],773,0.03836418680827833,{'str': 1646}
relationalInsertion.personalServicesRelationship[].value,770,0.03821529604446871,{'str': 953}
professionalCareer.royalAdministration[].value,766,0.03801677502605588,{'str': 1189}
relationalInsertion.personalServicesRelationship[].meta.names[],723,0.03588267407811802,{'str': 970}
travels.travels[].value,720,0.035733783314308404,{'str': 1071}
ecclesiasticalCareer.otherFunctions[].value,719,0.035684153059705195,{'str': 936}
professionalCareer.representation[].meta.dates[].type,716,0.03553526229589558,{'str': 1441}
ecclesiasticalCareer.regularFunctions[].meta.dates[].date,711,0.03528711102287955,{'int': 1376}
travels.travels[].meta.places[],706,0.03503895974986352,{'str': 2157}
ecclesiasticalCareer.otherFunctions[].meta.institutions[],663,0.03290485880192565,{'str': 947}
professionalCareer.representation[].meta.institutions[],656,0.032557447019703215,{'str': 1429}
professionalCareer.representation[].meta.dates[].date,652,0.03235892600129039,{'int': 1234}
identity.datesOfLife[].meta.dates[].type,643,0.03191225370986153,{'str': 647}
ecclesiasticalCareer.otherFunctions[].reference[],622,0.030870018363194203,{'str': 840}
identity.datesOfLife[].meta.dates[].startDate.date,620,0.03077075785398779,{'int': 621}
identity.datesOfLife[].meta.dates[].startDate.type,620,0.03077075785398779,{'str': 621}
ecclesiasticalCareer.otherFunctions[].meta.dates[].type,613,0.030423346071765348,{'str': 832}
ecclesiasticalCareer.popFunctions[].value,606,0.030075934289542906,{'str': 848}
professionalCareer.royalAdministration[].reference[],594,0.029480371234304432,{'str': 899}
ecclesiasticalCareer.regularFunctions[].meta.dates[].startDate.date,589,0.0292322199612884,{'int': 772}
ecclesiasticalCareer.regularFunctions[].meta.dates[].startDate.type,589,0.0292322199612884,{'str': 772}
politicalCareer.justiceFacts[].value,585,0.029033698942875576,{'str': 655}
professionalCareer.universityFunction[].meta.names[],580,0.028785547669859548,{'str': 1237}
ecclesiasticalCareer.regularFunctions[].meta.dates[].endDate.date,575,0.028537396396843516,{'int': 754}
ecclesiasticalCareer.regularFunctions[].meta.dates[].endDate.type,575,0.028537396396843516,{'str': 754}
politicalCareer.justiceFacts[].reference[],561,0.02784257283239863,{'str': 854}
professionalCareer.royalAdministration[].meta.institutions[],561,0.02784257283239863,{'str': 819}
identity.datesOfLife[].meta.dates[].endDate.date,550,0.027296640031763363,{'int': 551}
identity.datesOfLife[].meta.dates[].endDate.type,550,0.027296640031763363,{'str': 551}
professionalCareer.royalAdministration[].meta.dates[].type,549,0.027247009777160158,{'str': 847}
travels.travels[].meta.dates[].type,548,0.02719737952255695,{'str': 999}
relationalInsertion.personalServicesRelationship[].reference[],539,0.026750707231128094,{'str': 716}
professionalCareer.representation[].reference[],529,0.026254404685096034,{'str': 1164}
relationalInsertion.controversyOrDebates[].value,499,0.024765497046999853,{'str': 573}
politicalCareer.justiceFacts[].meta.dates[].type,497,0.02466623653779344,{'str': 662}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].type,497,0.02466623653779344,{'str': 1852}
professionalCareer.lawFunction[].value,492,0.024418085264777407,{'str': 584}
ecclesiasticalCareer.secularPosition[].meta.places[],491,0.024368455010174202,{'str': 667}
politicalCareer.justiceFacts[].meta.dates[].date,479,0.02377289195493573,{'int': 637}
identity.datesOfActivity[].comment[],468,0.023226959154300463,{'str': 470}
relationalInsertion.socialClassOrigin[].comment[],468,0.023226959154300463,{'str': 477}
professionalCareer.professorOrPerceptor[].value,456,0.02263139609906199,{'str': 546}
ecclesiasticalCareer.regularFunctions[].comment[],446,0.022135093553029925,{'str': 635}
ecclesiasticalCareer.popFunctions[].reference[],445,0.02208546329842672,{'str': 640}
travels.travels[].meta.dates[].date,445,0.02208546329842672,{'int': 716}
ecclesiasticalCareer.secularPosition[].meta.dates[],437,0.021688421261601074,{'empty_list': 557}
relationalInsertion.controversyOrDebates[].meta.names[],429,0.021291379224775423,{'str': 835}
politicalCareer.justiceFacts[].meta.institutions[],427,0.02119211871556901,{'str': 789}
relationalInsertion.personalServicesRelationship[].meta.institutions[],424,0.02104322795175939,{'str': 548}
politicalCareer.justiceFacts[].meta.names[],417,0.02069581616953695,{'str': 768}
professionalCareer.medicine[].value,415,0.020596555660330536,{'str': 578}
ecclesiasticalCareer.regularOrder[].meta.dates[].type,414,0.02054692540572733,{'str': 452}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].date,414,0.02054692540572733,{'int': 1383}
professionalCareer.representation[].meta.places[],402,0.019951362350488857,{'str': 875}
professionalCareer.representation[].meta.names[],398,0.019752841332076033,{'str': 888}
relationalInsertion.controversyOrDebates[].reference[],395,0.019603950568266415,{'str': 527}
identity.shortDescription[].meta.places[],391,0.01940542954985359,{'str': 392}
relationalInsertion.familyNetwork[].meta.dates[].type,391,0.01940542954985359,{'str': 699}
origin.birthPlace[].comment[],384,0.01905801776763115,{'str': 389}
relationalInsertion.controversyOrDebates[].meta.institutions[],382,0.018958757258424736,{'str': 451}
ecclesiasticalCareer.regularOrder[].comment[],380,0.018859496749218323,{'str': 394}
professionalCareer.lawFunction[].reference[],369,0.018313563948583057,{'str': 542}
ecclesiasticalCareer.otherFunctions[].meta.dates[].date,363,0.01801578242096382,{'int': 474}
bibliography.workSources[].meta.titles[],359,0.017817261402550993,{'str': 474}
textualProduction.religion.opus[].modernEdition[].value,359,0.017817261402550993,{'str': 2341}
professionalCareer.royalAdministration[].meta.dates[].date,357,0.017718000893344583,{'int': 471}
ecclesiasticalCareer.popFunctions[].meta.dates[].type,355,0.01761874038413817,{'str': 484}
ecclesiasticalCareer.secularPosition[].meta.dates[].endDate,353,0.01751947987493176,{'NoneType': 571}
ecclesiasticalCareer.regularOrder[].meta.dates[].date,351,0.017420219365725347,{'int': 374}
assets.parisHousing[].meta.institutions[],348,0.017271328601915728,{'str': 506}
professionalCareer.professorOrPerceptor[].meta.dates[].type,344,0.017072807583502905,{'str': 433}
relationalInsertion.personalServicesRelationship[].meta.dates[].type,342,0.01697354707429649,{'str': 449}
textualProduction.religion.opus[].modernEdition[].meta.titles[],338,0.016775026055883668,{'str': 2373}
relationalInsertion.familyNetwork[].comment[],335,0.01662613529207405,{'str': 404}
relationalInsertion.familyNetwork[].meta.dates[].date,315,0.015633530200009925,{'int': 516}
professionalCareer.medicine[].reference[],310,0.015385378926993895,{'str': 551}
textualProduction.philosophy.opus[].mainTitle,305,0.015137227653977865,{'str': 1189}
textualProduction.philosophy.opus[].title[].meta.titles[],305,0.015137227653977865,{'str': 1192}
textualProduction.philosophy.opus[].title[].value,305,0.015137227653977865,{'str': 1189}
textualProduction.philosophy.value,305,0.015137227653977865,{'str': 305}
textualProduction.philosophy.opus[].dateAndPlace[].value,304,0.01508759739937466,{'str': 1381}
textualProduction.philosophy.opus[].manuscrits[].value,302,0.014988336890168246,{'str': 6021}
ecclesiasticalCareer.otherFunctions[].meta.dates[].startDate.date,300,0.014889076380961834,{'int': 358}
ecclesiasticalCareer.otherFunctions[].meta.dates[].startDate.type,300,0.014889076380961834,{'str': 358}
ecclesiasticalCareer.otherFunctions[].meta.dates[].endDate.date,297,0.014740185617152216,{'int': 352}
ecclesiasticalCareer.otherFunctions[].meta.dates[].endDate.type,297,0.014740185617152216,{'str': 352}
identity.datesOfActivity[].reference[],297,0.014740185617152216,{'str': 315}
bibliography.otherBases[].meta.titles[],296,0.01469055536254901,{'str': 650}
textualProduction.philosophy.opus[].incipits[].value,289,0.014343143580326567,{'str': 1282}
relationalInsertion.personalServicesRelationship[].meta.dates[].date,282,0.013995731798104124,{'int': 350}
professionalCareer.royalAdministration[].meta.dates[].startDate.date,281,0.013946101543500919,{'int': 376}
professionalCareer.royalAdministration[].meta.dates[].startDate.type,281,0.013946101543500919,{'str': 376}
relationalInsertion.controversyOrDebates[].meta.titles[],281,0.013946101543500919,{'str': 301}
professionalCareer.royalAdministration[].meta.dates[].endDate.date,277,0.013747580525088093,{'int': 367}
professionalCareer.royalAdministration[].meta.dates[].endDate.type,277,0.013747580525088093,{'str': 367}
assets.parisHousing[].meta.names[],276,0.013697950270484888,{'str': 634}
politicalCareer.importantPosition[].value,276,0.013697950270484888,{'str': 355}
relationalInsertion.controversyOrDebates[].meta.dates[].type,274,0.013598689761278475,{'str': 349}
relationalInsertion.willExecutor[].value,267,0.013251277979056033,{'str': 403}
professionalCareer.professorOrPerceptor[].reference[],264,0.013102387215246415,{'str': 311}
relationalInsertion.willExecutor[].meta.names[],263,0.013052756960643208,{'str': 500}
professionalCareer.culturalFunction[].value,258,0.012804605687627178,{'str': 279}
ecclesiasticalCareer.popFunctions[].meta.dates[].date,257,0.01275497543302397,{'int': 336}
relationalInsertion.controversyOrDebates[].meta.dates[].date,257,0.01275497543302397,{'int': 323}
professionalCareer.medicine[].meta.dates[].type,250,0.012407563650801529,{'str': 356}
textualProduction.political.opus[].mainTitle,248,0.012308303141595117,{'str': 650}
textualProduction.political.opus[].title[].meta.titles[],248,0.012308303141595117,{'str': 659}
textualProduction.political.opus[].title[].value,248,0.012308303141595117,{'str': 650}
textualProduction.political.value,248,0.012308303141595117,{'str': 248}
professionalCareer.professorOrPerceptor[].meta.institutions[],247,0.01225867288699191,{'str': 335}
textualProduction.political.opus[].dateAndPlace[].value,247,0.01225867288699191,{'str': 782}
textualProduction.political.opus[].manuscrits[].value,245,0.012159412377785499,{'str': 3659}
professionalCareer.professorOrPerceptor[].meta.dates[].date,242,0.01201052161397588,{'int': 304}
relationalInsertion.willExecutor[].reference[],238,0.011812000595563055,{'str': 377}
professionalCareer.universityFunction[].meta.titles[],237,0.011762370340959848,{'str': 348}
professionalCareer.lawFunction[].meta.dates[].type,229,0.0113653283041342,{'str': 295}
professionalCareer.lawFunction[].meta.institutions[],227,0.011266067794927788,{'str': 290}
textualProduction.history.opus[].dateAndPlace[].value,227,0.011266067794927788,{'str': 696}
textualProduction.history.opus[].mainTitle,227,0.011266067794927788,{'str': 567}
textualProduction.history.opus[].title[].meta.titles[],227,0.011266067794927788,{'str': 570}
textualProduction.history.opus[].title[].value,227,0.011266067794927788,{'str': 567}
textualProduction.history.value,227,0.011266067794927788,{'str': 227}
textualProduction.history.opus[].manuscrits[].value,224,0.01111717703111817,{'str': 3930}
professionalCareer.lawFunction[].comment[],221,0.010968286267308551,{'str': 297}
bibliography.otherBases[].comment[],217,0.010769765248895728,{'str': 227}
politicalCareer.importantPosition[].meta.institutions[],214,0.010620874485086109,{'str': 311}
travels.travels[].meta.dates[].startDate.date,213,0.010571244230482902,{'int': 283}
travels.travels[].meta.dates[].startDate.type,213,0.010571244230482902,{'str': 283}
textualProduction.religion.opus[].editionBefore1700[].value,212,0.010521613975879696,{'str': 2834}
travels.travels[].meta.dates[].endDate.date,212,0.010521613975879696,{'int': 281}
travels.travels[].meta.dates[].endDate.type,212,0.010521613975879696,{'str': 281}
textualProduction.administrativePractice.opus[].mainTitle,210,0.010422353466673284,{'str': 444}
textualProduction.administrativePractice.opus[].title[].value,210,0.010422353466673284,{'str': 444}
textualProduction.administrativePractice.value,210,0.010422353466673284,{'str': 210}
textualProduction.science.opus[].dateAndPlace[].value,210,0.010422353466673284,{'str': 1040}
textualProduction.science.opus[].mainTitle,210,0.010422353466673284,{'str': 872}
textualProduction.science.opus[].title[].meta.titles[],210,0.010422353466673284,{'str': 872}
textualProduction.science.opus[].title[].value,210,0.010422353466673284,{'str': 872}
textualProduction.science.value,210,0.010422353466673284,{'str': 210}
textualProduction.administrativePractice.opus[].dateAndPlace[].value,208,0.010323092957466872,{'str': 486}
professionalCareer.culturalFunction[].reference[],207,0.010273462702863665,{'str': 311}
textualProduction.science.opus[].manuscrits[].value,207,0.010273462702863665,{'str': 6581}
textualProduction.administrativePractice.opus[].manuscrits[].value,206,0.01022383244826046,{'str': 804}
textualProduction.administrativePractice.opus[].title[].meta.titles[],203,0.010074941684450842,{'str': 436}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].endDate.date,203,0.010074941684450842,{'int': 468}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].endDate.type,203,0.010074941684450842,{'str': 468}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].startDate.date,203,0.010074941684450842,{'int': 469}
textualProduction.religion.opus[].dateAndPlace[].meta.dates[].startDate.type,203,0.010074941684450842,{'str': 469}
textualProduction.religion.opus[].editionBefore1700[].meta.dates[].type,203,0.010074941684450842,{'str': 2675}
textualProduction.religion.opus[].dateAndPlace[].meta.names[],201,0.009975681175244428,{'str': 674}
textualProduction.political.opus[].incipits[].value,200,0.009926050920641223,{'str': 547}
textualProduction.religion.opus[].editionBefore1700[].meta.dates[].date,200,0.009926050920641223,{'int': 2572}
professionalCareer.medicine[].meta.dates[].date,198,0.00982679041143481,{'int': 264}
professionalCareer.representation[].comment[],196,0.009727529902228398,{'str': 264}
textualProduction.religion.opus[].editionBefore1700[].meta.places[],195,0.009677899647625192,{'str': 2679}
relationalInsertion.studentProfessorRelationships[].meta.institutions[],193,0.00957863913841878,{'str': 314}
professionalCareer.professorOrPerceptor[].meta.places[],192,0.009529008883815575,{'str': 247}
professionalCareer.royalAdministration[].meta.names[],192,0.009529008883815575,{'str': 239}
textualProduction.science.opus[].incipits[].value,191,0.009479378629212368,{'str': 896}
assets.parisHousing[].comment[],190,0.009429748374609161,{'str': 207}
politicalCareer.importantPosition[].meta.dates[].type,184,0.009131966846989924,{'str': 272}
professionalCareer.culturalFunction[].comment[],184,0.009131966846989924,{'str': 250}
relationalInsertion.friends[].value,184,0.009131966846989924,{'str': 246}
textualProduction.religion.opus[].dateAndPlace[].reference[],183,0.00908233659238672,{'str': 519}
relationalInsertion.friends[].meta.names[],182,0.009032706337783513,{'str': 288}
textualProduction.religion.opus[].dateAndPlace[].meta.places[],181,0.008983076083180306,{'str': 510}
professionalCareer.royalAdministration[].comment[],180,0.008933445828577101,{'str': 219}
textualProduction.religion.opus[].language[].value,180,0.008933445828577101,{'str': 1026}
textualProduction.history.opus[].incipits[].value,179,0.008883815573973894,{'str': 504}
professionalCareer.lawFunction[].meta.dates[].date,174,0.008635664300957864,{'int': 209}
politicalCareer.jailed[].value,173,0.008586034046354657,{'str': 191}
relationalInsertion.willExecutor[].meta.dates[].type,173,0.008586034046354657,{'str': 284}
relationalInsertion.willExecutor[].meta.dates[].date,168,0.008337882773338627,{'int': 279}
textualProduction.political.opus[].dateAndPlace[].meta.dates[].type,168,0.008337882773338627,{'str': 449}
professionalCareer.medicine[].meta.institutions[],167,0.00828825251873542,{'str': 268}
assets.parisHousing[].meta.places[],166,0.008238622264132215,{'str': 184}
professionalCareer.medicine[].meta.names[],162,0.00804010124571939,{'str': 281}
professionalCareer.representation[].meta.dates[].endDate.date,161,0.007990470991116185,{'int': 205}
professionalCareer.representation[].meta.dates[].endDate.type,161,0.007990470991116185,{'str': 205}
professionalCareer.representation[].meta.dates[].startDate.date,161,0.007990470991116185,{'int': 205}
professionalCareer.representation[].meta.dates[].startDate.type,161,0.007990470991116185,{'str': 205}
relationalInsertion.memberOfGroups[].value,159,0.007891210481909772,{'str': 173}
origin.birthPlace[].meta.institutions[],157,0.00779194997270336,{'str': 157}
relationalInsertion.willExecutor[].meta.institutions[],156,0.007742319718100154,{'str': 278}
assets.gifts[].value,155,0.007692689463496947,{'str': 190}
politicalCareer.importantPosition[].meta.names[],155,0.007692689463496947,{'str': 201}
textualProduction.administrativePractice.opus[].incipits[].value,155,0.007692689463496947,{'str': 352}
politicalCareer.importantPosition[].reference[],153,0.007593428954290536,{'str': 216}
politicalCareer.justiceFacts[].comment[],153,0.007593428954290536,{'str': 228}
textualProduction.political.opus[].dateAndPlace[].meta.dates[].date,153,0.007593428954290536,{'int': 372}
ecclesiasticalCareer.popFunctions[].meta.names[],152,0.00754379869968733,{'str': 213}
textualProduction.philosophyExtended.opus[].mainTitle,152,0.00754379869968733,{'str': 418}
textualProduction.philosophyExtended.opus[].title[].meta.titles[],152,0.00754379869968733,{'str': 423}
textualProduction.philosophyExtended.opus[].title[].value,152,0.00754379869968733,{'str': 418}
textualProduction.philosophyExtended.value,152,0.00754379869968733,{'str': 152}
commissions.universityCommission[].value,151,0.007494168445084123,{'str': 180}
textualProduction.philosophyExtended.opus[].dateAndPlace[].value,151,0.007494168445084123,{'str': 470}
textualProduction.philosophyExtended.opus[].manuscrits[].value,151,0.007494168445084123,{'str': 3563}
ecclesiasticalCareer.regularFunctions[].meta.places[],146,0.007246017172068093,{'str': 214}
commissions.universityCommission[].reference[],144,0.00714675666286168,{'str': 221}
textualProduction.philosophy.opus[].modernEdition[].value,142,0.0070474961536552685,{'str': 724}
politicalCareer.jailed[].meta.dates[].type,141,0.006997865899052062,{'str': 165}
textualProduction.philosophyExtended.opus[].incipits[].value,139,0.00689860538984565,{'str': 386}
ecclesiasticalCareer.ecclesiasticalStatus[].comment[],138,0.006848975135242444,{'str': 141}
origin.diocese[].comment[],137,0.0067993448806392374,{'str': 140}
relationalInsertion.personalServicesRelationship[].comment[],137,0.0067993448806392374,{'str': 158}
textualProduction.philosophy.opus[].modernEdition[].meta.titles[],137,0.0067993448806392374,{'str': 722}
