reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
21885,BENECHINUS Henrici,/individus/21885-benechinushenrici,33,1682,1628,1,1,1
1438,BERTALDUS de Alvernia in Veneta,/individus/1438-bertaldusdealverniainveneta,14,564,551,1,1,1
15745,BARTHOLOMAEUS de Lastic,/individus/15745-bartholomaeusdelastic,15,425,415,1,1,0
1203,BARTHOLOMAEUS 4,/individus/1203-bartholomaeus4,12,498,486,1,1,1
17272,BERNARDUS de Fargis,/individus/17272-bernardusdefargis,33,1007,965,1,1,0
58276,BERNARDUS Pisanus,/individus/58276-bernarduspisanus,16,466,452,1,1,1
17368,BARTHOLOMAEUS Carnotensis,/individus/17368-bartholomaeuscarnotensis,23,1690,1642,1,1,1
17339,BALDUINUS de Momardin,/individus/17339-balduinusdemomardin,16,462,452,1,1,0
22043,BALDUINUS de Sommereus,/individus/22043-balduinusdesommereus,12,288,282,1,1,0
1365,BERNARDUS Foder,/individus/1365-bernardusfoder,13,357,347,1,1,0
1250,BAVO Baert,/individus/1250-bavobaert,20,769,747,1,1,0
1574,BURCARDUS Bloem,/individus/1574-burcardusbloem,17,708,682,1,1,1
53380,BERTRANDUS Mettensis,/individus/53380-bertrandusmettensis,49,2080,2037,1,1,1
52210,BENEDICTUS de Viterbio,/individus/52210-benedictusdeviterbio,15,728,710,1,1,1
1511,BLASIUS 3,/individus/1511-blasius3,41,2010,1982,1,1,1
1557,BUSCARDUS,/individus/1557-buscardus,10,234,228,1,1,0
1145,BALDUINUS 5,/individus/1145-balduinus5,12,362,351,1,1,1
16683,BERTRANDUS Ursi,/individus/16683-bertrandusursi,18,575,555,1,1,1
53739,BENEDICTUS Johannis 2,/individus/53739-benedictusjohannis2,20,537,513,1,1,0
22040,BARTHOLOMAEUS Colet,/individus/22040-bartholomaeuscolet,12,279,273,1,1,0
1164,BALDUINUS de Schoenhovia,/individus/1164-balduinusdeschoenhovia,22,850,818,1,1,0
53842,BERNARDUS Andree,/individus/53842-bernardusandree,12,289,281,1,1,0
1237,BERTALDUS de Voerstate,/individus/1237-bertaldusdevoerstate,14,428,414,1,1,0
